Modelo,Parametro,Factor_Cohesion,Factor_Friccion,Factor_Peso,Factor_Conductividad,Precision,Recall,F1_Score,Valor_Promedio,Pct_Area_Inestable
FS_Continuo,Umbral_FS_1.0,0.3,0.9,1.1,1.0,0.16666666666666666,0.0017574692442882249,0.003478260869565217,,0.09586195877935773
FS_Continuo,Umbral_FS_1.25,0.3,0.7,1.1,0.5,0.08241758241758242,0.026362038664323375,0.03994673768308921,,2.9078127496405175
FS_Continuo,Umbral_FS_1.5,0.3,0.7,1.1,0.5,0.1360153256704981,0.12478031634446397,0.1301558203483043,,8.339990413804122
SHALSTAB_Zonas,Incond_Estable,1.0,1.0,1.0,1.0,,,,,100.0
